fromid,toid,distance
32,33,100.044167
32,34,141.1940502
32,35,185.9980348
32,36,212.9977975
32,37,306.0939873
32,38,221.2717323
32,39,370.0919098
32,40,417.9914713
32,41,292.1957021
32,42,458.4537012
33,34,173.4129326
33,35,250.2559636
33,36,220.3273339
33,37,271.0697618
33,38,167.8127414
33,39,344.7610976
33,40,384.9714876
33,41,293.733488
33,42,439.8566944
34,35,91.999341
34,36,77.31712259
34,37,196.5781967
34,38,155.6252874
34,39,245.7654672
34,40,297.8251148
34,41,154.4916763
34,42,326.2464385
35,36,133.0047138
35,37,262.4042639
35,38,244.0862999
35,39,292.3183245
35,40,346.1427888
35,41,185.0340246
35,42,355.0898761
36,37,129.6166257
36,38,130.3599237
36,39,169.6305876
36,40,222.4934479
36,41,79.20621809
36,42,249.0225168
37,38,107.3573266
37,39,76.87375714
37,40,114.2265617
37,41,107.8833956
37,42,173.2436671
38,39,183.9593725
38,40,218.9899108
38,41,169.0854386
38,42,280.418827
39,40,53.82863964
39,41,109.1526873
39,42,96.45946262
40,41,162.517207
40,42,79.46964222
41,42,173.86531
1,2,274.6006974
1,3,133.5833014
1,4,290.3226837
1,5,445.8255947
1,6,468.562105
1,7,342.6754177
1,8,392.3019605
1,9,244.7750136
1,10,417.8538384
1,11,347.5184934
1,12,487.5994595
1,13,518.3550376
1,14,582.1721475
1,15,563.023805
1,16,612.2070903
1,17,643.0589089
1,18,669.6726333
1,19,827.8216799
1,20,740.869887
1,21,847.0750837
1,22,880.7894914
1,23,680.0036482
1,24,769.7802772
1,25,810.987531
1,26,934.7829612
1,27,687.6447353
1,28,984.2732283
1,29,992.5012617
1,30,929.0041249
1,31,954.5741886
1,32,1097.252906
1,33,1195.10273
1,34,1135.732476
1,35,1059.826315
1,36,1192.799833
1,37,1322.199604
1,38,1287.847945
1,39,1343.598269
1,40,1396.083393
1,41,1234.718309
1,42,1381.793149
2,3,141.3220358
2,4,104.8216416
2,5,308.8735297
2,6,341.8136089
2,7,274.8229441
2,8,239.9799569
2,9,295.9222325
2,10,426.3255364
2,11,366.7665529
2,12,433.0183702
2,13,501.4073631
2,14,479.347813
2,15,509.3816815
2,16,569.9940276
2,17,553.5124333
2,18,649.0728578
2,19,796.6777249
2,20,672.4446219
2,21,759.9890143
2,22,788.2970793
2,23,629.7913967
2,24,716.8229842
2,25,728.8933111
2,26,891.2200506
2,27,583.6559103
2,28,925.6276342
2,29,945.8917208
2,30,906.3020316
2,31,891.0770418
2,32,1023.725335
2,33,1113.868044
2,34,1094.329239
2,35,1033.84773
2,36,1162.092947
2,37,1290.000108
2,38,1235.036085
2,39,1326.150602
2,40,1379.965994
2,41,1218.126345
2,42,1381.374868
3,4,176.7247398
3,5,365.6299198
3,6,393.98172
3,7,285.9006587
3,8,302.2814429
3,9,239.8270132
3,10,405.5142899
3,11,336.0185123
3,12,447.3390653
3,13,497.8339074
3,14,522.726417
3,15,526.1408205
3,16,582.3247653
3,17,591.4278377
3,18,651.754974
3,19,807.5879107
3,20,701.275274
3,21,800.2813893
3,22,831.8705136
3,23,647.9169296
3,24,738.0954769
3,25,766.0495619
3,26,909.8899258
3,27,630.2810529
3,28,952.6362931
3,29,966.7436329
3,30,914.1682881
3,31,920.3021955
3,32,1059.479877
3,33,1154.339355
3,34,1113.722535
3,35,1044.687036
3,36,1176.380325
3,37,1305.844784
3,38,1261.321939
3,39,1334.528519
3,40,1387.928996
3,41,1225.435913
3,42,1381.222656
4,5,207.2567762
4,6,239.4916043
4,7,172.9387564
4,8,138.6716117
4,9,221.768941
4,10,328.6460026
4,11,274.5141019
4,12,328.5294306
4,13,398.6296083
4,14,376.3465421
4,15,404.6094563
4,16,465.3021895
4,17,449.9758828
4,18,544.8648797
4,19,691.8805883
4,20,568.1744133
4,21,657.3946021
4,22,686.3839146
4,23,524.9745366
4,24,612.1257522
4,25,625.7194561
4,26,786.5189135
4,27,481.7592084
4,28,821.5027352
4,29,841.3217173
4,30,801.5382602
4,31,787.1390772
4,32,920.7956239
4,33,1011.856288
4,34,989.7505349
4,35,929.0260996
4,36,1057.329335
4,37,1185.314713
4,38,1131.064875
4,39,1221.329472
4,40,1275.145207
4,41,1113.318155
4,42,1276.767224
5,6,33.54668941
5,7,117.7657383
5,8,68.91456362
5,9,250.3162926
5,10,222.2158633
5,11,214.6026383
5,12,158.781696
5,13,242.8144785
5,14,171.0676724
5,15,220.1210168
5,16,280.8521033
5,17,245.9319331
5,18,365.7806218
5,19,500.0602627
5,20,366.8737154
5,21,451.1428953
5,22,479.5049507
5,23,332.0266845
5,24,414.5790949
5,25,420.4017004
5,26,588.1370504
5,27,274.8343798
5,28,618.7743504
5,29,641.2866472
5,30,609.9980586
5,31,583.715021
5,32,714.9567074
5,33,805.0705246
5,34,789.4990675
5,35,733.9238931
5,36,859.2893585
5,37,985.8743393
5,38,927.4844319
5,39,1025.683469
5,40,1079.473727
5,41,918.9447027
5,42,1086.152101
6,7,131.1171784
6,8,101.9048519
6,9,261.3610211
6,10,209.0717813
6,11,212.2614266
6,12,132.9132126
6,13,217.4427124
6,14,137.7155546
6,15,189.0110826
6,16,249.219369
6,17,212.4623369
6,18,334.5171076
6,19,466.9634304
6,20,333.3270947
6,21,418.202159
6,22,446.9064353
6,23,299.0344973
6,24,381.1307957
6,25,387.1864636
6,26,554.6171913
6,27,242.2678612
6,28,585.2923395
6,29,607.7400287
6,30,576.8512322
6,31,550.2768664
6,32,681.9130074
6,33,772.4180066
6,34,755.9539636
6,35,700.5096563
6,36,825.7593213
6,37,952.3276563
6,38,894.0902148
6,39,992.2123254
6,40,1045.998109
6,41,885.5374594
6,42,1052.930819
7,8,103.8178049
7,9,132.5595226
7,10,158.5314119
7,11,118.2277152
7,12,163.3324365
7,13,226.6225149
7,14,240.8758782
7,15,242.0532363
7,16,300.4879921
7,17,306.4860217
7,18,376.094754
7,19,527.6678532
7,20,415.5215998
7,21,514.8303602
7,22,546.9015437
7,23,364.1840948
7,24,453.8137103
7,25,480.3065863
7,26,626.981359
7,27,347.7795341
7,28,667.5787855
7,29,683.2538947
7,30,636.2521742
7,31,634.8377167
7,32,773.5953268
7,33,868.5122456
7,34,831.0190863
7,35,765.5120032
7,36,895.8271188
7,37,1024.823741
7,38,976.8353968
7,39,1057.180622
7,40,1110.882796
7,41,948.5230385
7,42,1109.261248
8,9,225.8660952
8,10,248.4637828
8,11,220.4835865
8,12,211.0294302
8,13,291.2055923
8,14,239.5949791
8,15,280.4356674
8,16,341.76774
8,17,314.164899
8,18,425.225798
8,19,564.6236985
8,20,434.3837945
8,21,520.0118877
8,22,548.417736
8,23,396.52414
8,24,480.9224668
8,25,489.0909587
8,26,654.9579097
8,27,343.7482585
8,28,686.8781996
8,29,708.6415693
8,30,674.6529515
8,31,651.9902877
8,32,783.7831912
8,33,873.9844901
8,34,856.983814
8,35,799.8477086
8,36,926.168764
8,37,1053.194991
8,38,995.8691908
8,39,1091.93052
8,40,1145.748061
8,41,984.7640101
8,42,1150.917229
9,10,174.1795725
9,11,103.2259183
9,12,246.6465323
9,13,273.810022
9,14,350.5026436
9,15,319.6742602
9,16,367.5039923
9,17,404.6254006
9,18,426.1449518
9,19,584.2222843
9,20,497.084001
9,21,604.6955718
9,22,638.9502615
9,23,435.343574
9,24,525.0233902
9,25,568.2191737
9,26,690.5374039
9,27,451.8483676
9,28,739.5116552
9,29,748.2023566
9,30,687.0973792
9,31,709.8272287
9,32,852.6283431
9,33,950.6986883
9,34,892.2436535
9,35,818.0823735
9,36,950.8512102
9,37,1080.429029
9,38,1043.685427
9,39,1104.600375
9,40,1157.553811
9,41,995.4836723
9,42,1147.130334
10,11,71.0817809
10,12,109.2007727
10,13,101.4434556
10,14,225.1420686
10,15,160.7373162
10,16,198.510378
10,17,257.4477466
10,18,252.0267926
10,19,410.156943
10,20,331.5913973
10,21,442.2436103
10,22,477.4684536
10,23,266.0944611
10,24,354.2341368
10,25,405.1268818
10,26,516.9371691
10,27,308.5036412
10,28,567.4022368
10,29,574.6650572
10,30,513.0318177
10,31,538.7612239
10,32,682.2500783
10,33,781.1397647
10,34,718.1704991
10,35,644.0187368
10,36,776.7299899
10,37,906.3224956
10,38,869.9961083
10,39,931.3204365
10,40,984.4369174
10,41,822.1707311
10,42,975.9158655
11,12,154.6681871
11,13,170.8403264
11,14,267.471427
11,15,221.4650111
11,16,265.8131833
11,17,312.3551495
11,18,322.9278774
11,19,480.9965017
11,20,397.1325635
11,21,506.3348577
11,22,541.1072595
11,23,333.7070391
11,24,422.8809237
11,25,469.4918464
11,26,587.4025745
11,27,361.8155158
11,28,636.9238696
11,29,645.0894073
11,30,584.113012
11,31,607.664907
11,32,750.8105478
11,33,849.2809682
11,34,789.0177473
11,35,715.0996898
11,36,847.801718
11,37,977.3972604
11,38,940.5366003
11,39,1002.264645
11,40,1055.338865
11,41,893.120086
11,42,1046.210166
12,13,84.53346903
12,14,116.2325567
12,15,78.87275982
12,16,137.5123074
12,17,158.460136
12,18,216.6296853
12,19,364.8075088
12,20,255.1663468
